Time,Population,Uninfected Naive,Uninfected Immune,Infected Naive,Infected Immune,Dead
0.0,pop1,900,0,100,0,0
2.0,pop1,907,0,97,0,0
4.0,pop1,914,0,94,0,0
6.0,pop1,905,0,103,0,0
8.0,pop1,888,0,124,0,0
10.0,pop1,898,0,116,0,0
12.0,pop1,917,0,98,0,0
14.0,pop1,948,0,71,0,0
16.0,pop1,941,0,78,0,0
18.0,pop1,939,0,82,0,0
20.0,pop1,933,0,91,0,0
22.0,pop1,930,0,95,0,0
24.0,pop1,938,0,88,0,0
26.0,pop1,947,0,83,0,0
28.0,pop1,954,0,79,0,0
30.0,pop1,962,0,71,0,0
32.0,pop1,973,0,60,0,0
34.0,pop1,998,0,37,0,0
36.0,pop1,998,0,39,0,0
38.0,pop1,1018,0,19,0,0
40.0,pop1,1015,0,24,0,0
42.0,pop1,1012,0,30,0,0
44.0,pop1,1013,0,30,0,0
46.0,pop1,997,0,50,0,0
48.0,pop1,1009,0,39,0,0
50.0,pop1,1013,0,37,0,0
52.0,pop1,1017,0,37,0,0
54.0,pop1,1006,0,51,0,0
56.0,pop1,992,0,65,0,0
58.0,pop1,986,0,74,0,0
60.0,pop1,993,0,67,0,0
62.0,pop1,1005,0,56,0,0
64.0,pop1,1001,0,61,0,0
66.0,pop1,1005,0,59,0,0
68.0,pop1,991,0,75,0,0
70.0,pop1,999,0,69,0,0
72.0,pop1,978,0,92,0,0
74.0,pop1,995,0,77,0,0
76.0,pop1,989,0,85,0,0
78.0,pop1,1006,0,69,0,0
80.0,pop1,1020,0,57,0,0
82.0,pop1,1018,0,60,0,0
84.0,pop1,996,0,85,0,0
86.0,pop1,1003,0,80,0,0
88.0,pop1,988,0,97,0,0
90.0,pop1,1017,0,69,0,0
92.0,pop1,1012,0,75,0,0
94.0,pop1,1041,0,48,0,0
96.0,pop1,1041,0,48,0,0
98.0,pop1,1001,0,92,0,0
100.0,pop1,1010,0,83,0,0
102.0,pop1,970,0,123,0,0
104.0,pop1,962,0,132,0,0
106.0,pop1,969,0,128,0,0
108.0,pop1,944,0,153,0,0
110.0,pop1,952,0,145,0,0
112.0,pop1,934,0,166,0,0
114.0,pop1,922,0,178,0,0
116.0,pop1,933,0,169,0,0
118.0,pop1,971,0,134,0,0
120.0,pop1,980,0,127,0,0
122.0,pop1,1005,0,103,0,0
124.0,pop1,1019,0,92,0,0
126.0,pop1,989,0,124,0,0
128.0,pop1,996,0,117,0,0
130.0,pop1,1008,0,106,0,0
132.0,pop1,993,0,122,0,0
134.0,pop1,975,0,143,0,0
136.0,pop1,988,0,132,0,0
138.0,pop1,1009,0,113,0,0
140.0,pop1,967,0,156,0,0
142.0,pop1,980,0,146,0,0
144.0,pop1,1001,0,127,0,0
146.0,pop1,1024,0,105,0,0
148.0,pop1,1043,0,86,0,0
150.0,pop1,1040,0,93,0,0
152.0,pop1,1029,0,107,0,0
154.0,pop1,1001,0,137,0,0
156.0,pop1,1038,0,101,0,0
158.0,pop1,1046,0,95,0,0
160.0,pop1,1035,0,108,0,0
162.0,pop1,1050,0,93,0,0
164.0,pop1,1028,0,118,0,0
166.0,pop1,1033,0,113,0,0
168.0,pop1,1039,0,108,0,0
170.0,pop1,1044,0,105,0,0
172.0,pop1,1017,0,134,0,0
174.0,pop1,1008,0,147,0,0
176.0,pop1,1006,0,149,0,0
178.0,pop1,1024,0,134,0,0
180.0,pop1,1029,0,130,0,0
182.0,pop1,1025,0,135,0,0
184.0,pop1,1062,0,98,0,0
186.0,pop1,1043,0,118,0,0
188.0,pop1,1011,0,152,0,0
190.0,pop1,1046,0,120,0,0
192.0,pop1,1079,0,88,0,0
194.0,pop1,1047,0,120,0,0
196.0,pop1,1057,0,110,0,0
198.0,pop1,1018,0,150,0,0
200.0,pop1,1017,0,152,0,0
202.0,pop1,1038,0,131,0,0
204.0,pop1,1070,0,100,0,0
206.0,pop1,1055,0,116,0,0
208.0,pop1,1082,0,93,0,0
210.0,pop1,1053,0,123,0,0
212.0,pop1,1069,0,108,0,0
214.0,pop1,1056,0,121,0,0
216.0,pop1,1077,0,103,0,0
218.0,pop1,1051,0,130,0,0
220.0,pop1,1060,0,125,0,0
222.0,pop1,1109,0,78,0,0
224.0,pop1,1100,0,87,0,0
226.0,pop1,1068,0,121,0,0
228.0,pop1,1046,0,144,0,0
230.0,pop1,1045,0,149,0,0
232.0,pop1,1054,0,141,0,0
